                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 2.1275,                 1.0439,                 1.1353,                0.68834,                0.39117,                0.48664,                 0.2111,                 2.0935,                0.99088,                  1.149,              0.0013664,              0.0013664,              0.0013664
                     66,                  2.115,                 1.0385,                  1.134,                0.69777,                0.39236,                0.48942,                0.21344,                 2.0787,                0.98465,                 1.1482,              0.0013565,              0.0013565,              0.0013565
                     67,                 2.1141,                 1.0338,                 1.1303,                0.69591,                 0.3898,                0.48869,                0.21385,                 2.0837,                0.98129,                 1.1484,              0.0013466,              0.0013466,              0.0013466
                     68,                 2.1112,                 1.0301,                 1.1301,                 0.6919,                 0.3933,                0.48945,                0.21466,                 2.0734,                0.98224,                 1.1437,              0.0013367,              0.0013367,              0.0013367
                     69,                 2.1097,                 1.0313,                  1.128,                0.70027,                0.39201,                0.49143,                0.21428,                 2.0805,                0.97643,                  1.146,              0.0013268,              0.0013268,              0.0013268
                     70,                 2.1019,                 1.0286,                  1.131,                0.69224,                0.39465,                0.48976,                0.21235,                 2.0992,                0.98919,                 1.1479,              0.0013169,              0.0013169,              0.0013169
                     71,                 2.0838,                 1.0167,                 1.1268,                0.69789,                0.39236,                0.48988,                0.21507,                 2.0793,                0.97857,                 1.1426,               0.001307,               0.001307,               0.001307
                     72,                 2.0936,                 1.0178,                 1.1237,                0.70253,                0.39524,                0.49439,                  0.219,                 2.0552,                0.96703,                 1.1378,              0.0012971,              0.0012971,              0.0012971
                     73,                 2.0976,                 1.0193,                 1.1222,                0.70323,                0.39413,                0.49474,                0.21976,                  2.054,                0.96535,                 1.1388,              0.0012872,              0.0012872,              0.0012872
                     74,                  2.087,                 1.0183,                 1.1206,                0.70464,                0.39323,                0.49382,                0.21902,                 2.0523,                0.96319,                 1.1377,              0.0012773,              0.0012773,              0.0012773
                     75,                 2.0787,                 1.0099,                 1.1211,                0.70184,                 0.3968,                0.49596,                0.21935,                 2.0524,                0.96392,                 1.1371,              0.0012674,              0.0012674,              0.0012674
                     76,                 2.0752,                   1.01,                 1.1242,                0.70663,                0.39474,                0.49567,                0.22131,                 2.0435,                0.95892,                  1.134,              0.0012575,              0.0012575,              0.0012575
                     77,                 2.0764,                 1.0044,                 1.1192,                0.70589,                0.39449,                0.49506,                0.22026,                  2.054,                0.96207,                 1.1348,              0.0012476,              0.0012476,              0.0012476
                     78,                 2.0747,                 1.0088,                 1.1175,                0.70505,                0.39661,                0.49743,                0.22144,                 2.0469,                 0.9601,                 1.1317,              0.0012377,              0.0012377,              0.0012377
                     79,                  2.057,                0.99571,                 1.1135,                0.70794,                0.40008,                0.49937,                0.22359,                 2.0386,                0.95324,                 1.1313,              0.0012278,              0.0012278,              0.0012278
                     80,                 2.0656,                 1.0006,                 1.1164,                0.70994,                0.39799,                0.49961,                0.22457,                 2.0334,                0.95005,                 1.1307,              0.0012179,              0.0012179,              0.0012179
                     81,                 2.0538,                0.99239,                 1.1127,                0.70672,                0.40136,                0.50076,                0.22477,                 2.0332,                0.94526,                 1.1302,               0.001208,               0.001208,               0.001208
                     82,                 2.0546,                0.99187,                 1.1157,                0.70899,                0.39948,                0.49942,                0.22426,                 2.0378,                0.94853,                 1.1326,              0.0011981,              0.0011981,              0.0011981
                     83,                 2.0505,                0.99192,                 1.1115,                0.70278,                0.40251,                0.50125,                0.22543,                 2.0283,                0.94616,                 1.1276,              0.0011882,              0.0011882,              0.0011882
                     84,                 2.0446,                0.98729,                 1.1112,                0.70933,                 0.3994,                0.50048,                 0.2249,                 2.0301,                 0.9448,                 1.1267,              0.0011783,              0.0011783,              0.0011783
                     85,                 2.0541,                0.99006,                  1.108,                0.70958,                0.40096,                0.50147,                0.22509,                 2.0288,                0.94724,                 1.1264,              0.0011684,              0.0011684,              0.0011684
                     86,                 2.0438,                0.98855,                 1.1073,                0.71053,                0.39858,                0.50023,                0.22518,                 2.0287,                0.94533,                 1.1242,              0.0011585,              0.0011585,              0.0011585
                     87,                 2.0351,                0.97724,                 1.1004,                0.70871,                0.40384,                0.50457,                0.22928,                 2.0118,                0.93297,                 1.1218,              0.0011486,              0.0011486,              0.0011486
                     88,                 2.0231,                0.97715,                 1.1046,                0.71211,                0.40085,                0.50333,                0.22848,                 2.0103,                  0.937,                  1.121,              0.0011387,              0.0011387,              0.0011387
                     89,                 2.0228,                0.97262,                 1.1018,                0.71659,                0.40258,                0.50541,                0.22905,                 2.0185,                0.93123,                 1.1212,              0.0011288,              0.0011288,              0.0011288
